Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-06-08,131,NABIL,Nabil Bank Limited,490,495,489,489.65,50694,24865295.4,492.37,700,450,2025-06-08T14:59:46.156503,489.2,454,490.49,132484.59
2,2025-06-08,132,NIMB,Nepal Investment Mega Bank Limited,208,213,208,210.85,80069,16865793.6,211.76,295,149.2,2025-06-08T14:59:59.493915,212,316,210.64,71960.14
3,2025-06-08,133,SCB,Standard Chartered Bank Limited,605,614,605,606.52,14672,8894775,609.19,790,549,2025-06-08T14:59:39.230746,608,149,606.24,60908.97
4,2025-06-08,134,HBL,Himalayan Bank Limited,222,225,215.1,219.7,91179,19938499.8,221.98,312.1,172.1,2025-06-08T14:59:37.387225,221,271,218.67,47579.58
5,2025-06-08,135,SBI,Nepal SBI Bank Limited,409.21,412,398,399.64,24041,9641306.4,409.21,549,282.3,2025-06-08T14:59:58.618185,398,132,401.03,43557.4
6,2025-06-08,137,EBL,Everest Bank Limited,658,658,640,643.3,72849,47057796.7,653.07,790,511,2025-06-08T14:59:53.964079,648,308,645.96,83273.22
7,2025-06-08,139,NICA,NIC Asia Bank Ltd.,350,361,348,348.67,68124,23905524.3,353.75,573,335.5,2025-06-08T14:59:55.078802,348,412,350.91,52013.08
8,2025-06-08,140,MBL,Machhapuchhre Bank Limited,219,220,216.6,217.01,237220,52108681.3,217.46,295,164.2,2025-06-08T14:59:58.779093,217,175,219.66,25219.51
9,2025-06-08,141,LSL,Laxmi Sunrise Bank Limited,220,220,213,214.51,67185,14452636.1,218.64,300,147.7,2025-06-08T14:59:58.374718,214.1,203,215.11,52225.7
10,2025-06-08,142,KBL,Kumari Bank Limited,210,217,208,209.52,496424,104179633.9,212.93,272.9,133.2,2025-06-08T14:59:56.087576,209.5,884,209.86,54948.42
11,2025-06-08,145,SBL,Siddhartha Bank Limited,293,295,291,293.12,59740,17520543.5,295.22,380,237,2025-06-08T14:59:59.445865,293.3,113,293.27,41300.55
12,2025-06-08,147,SHL,Soaltee Hotel Limited,558.1,574.8,557.1,565.74,297550,168432356.2,560.82,636.5,416.5,2025-06-08T14:59:59.131518,562.2,641,566.06,57810.86
13,2025-06-08,148,TRH,Taragaon Regency Hotel Limited,930.1,940,928,932.48,5025,4691962.7,942.91,1538,740,2025-06-08T14:59:08.462017,940,69,933.72,18296.38
14,2025-06-08,149,OHL,Oriental Hotels Limited,894.9,894.9,867.5,869.9,22751,19874612.8,882.57,1205,746,2025-06-08T14:59:54.235617,869.1,179,873.57,10303.92
15,2025-06-08,152,NHPC,National Hydro Power Company Limited,215,224,215,215.53,81692,17699344.9,215.45,290,136,2025-06-08T14:59:43.952854,217,272,216.65,5315.91
16,2025-06-08,153,BPCL,Butwal Power Company Limited,644.7,670,635,638.68,682280,445151958.2,632.1,670,286,2025-06-08T14:59:56.379289,639,2325,652.44,21773.01
