BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-06-12,46800.0,46800.0,46063.0,60,2779910.0,6
2025-06-11,46998.0,46998.0,45285.1,190,8720848.0,19
2025-06-10,46200.0,46455.0,46200.0,85,3939100.0,7
2025-06-09,46455.1,46455.1,46455.1,10,464551.0,1
2025-06-08,47398.0,47398.0,47398.0,10,473980.0,1
2025-06-05,46500.0,46923.0,46500.0,40,1868460.0,4
2025-06-04,46923.0,46923.0,46003.0,60,2773360.0,6
2025-06-03,46500.0,46500.0,46500.0,20,930000.0,2
2025-06-02,46730.0,48572.0,46730.0,40,1896340.0,4
2025-05-28,47620.0,47620.0,47620.0,10,476200.0,1
2025-05-27,46687.0,47637.0,46687.0,70,3277910.0,4
2025-05-26,46706.0,47648.0,46705.0,40,1877660.0,4
2025-05-25,46714.0,46717.0,46714.0,30,1401470.0,3
2025-05-22,46700.25,48450.0,46700.0,60,2827330.0,6
2025-05-21,48098.0,48098.0,47434.0,70,3346960.0,7
2025-05-20,46505.0,46505.0,46505.0,0,0.0,0
2025-05-19,46505.0,47980.0,46505.0,66,3103530.0,6
2025-05-18,46305.0,47225.0,46305.0,30,1400300.0,3
2025-05-15,46300.0,46300.0,46300.0,37,1713100.0,3
2025-05-14,46250.0,46250.0,46250.0,0,0.0,0
2025-05-13,46250.0,46400.0,46050.0,50,2310000.0,5
2025-05-11,46400.0,46900.0,46400.0,60,2791000.0,6
2025-05-08,46900.0,47430.0,46900.0,20,943300.0,2
2025-05-07,46500.0,46501.0,46500.0,50,2325010.0,3
2025-05-06,46600.0,46600.0,46600.0,10,466000.0,1
2025-05-05,46444.0,46510.0,46444.0,30,1394540.0,3
2025-05-04,47390.0,47420.0,47325.0,110,5210340.0,6
2025-04-30,46500.0,46500.0,46500.0,0,0.0,0
2025-04-29,46500.0,46500.0,46500.0,0,0.0,0
2025-04-28,46500.0,46650.0,46500.0,50,2327500.0,5
2025-04-27,46990.0,46990.0,46500.0,60,2794900.0,6
2025-04-24,46551.5,46551.5,46551.5,10,465515.0,1
2025-04-23,46551.5,47348.0,46403.0,30,1404510.0,3
2025-04-22,46500.0,46500.0,46061.0,20,925610.0,2
2025-04-21,47000.0,47398.0,46901.1,40,1882991.0,4
2025-04-20,47500.0,47500.0,46502.0,60,2823019.0,6
2025-04-17,47300.0,47300.0,46500.0,40,1873000.0,4
2025-04-16,46500.2,46500.2,45530.0,30,1380312.0,3
2025-04-15,46450.0,46500.0,46450.0,20,929500.0,2
2025-04-13,46603.1,47100.0,46500.0,40,1868051.0,4
2025-04-10,46500.0,46500.0,46200.0,22,1019400.0,2
2025-04-09,46200.0,46600.0,46200.0,40,1860000.0,3
2025-04-08,46600.0,46600.0,46000.0,80,3719000.0,4
2025-04-07,46300.0,46350.0,46300.0,50,2316500.0,4
2025-04-03,46350.0,46350.0,46350.0,10,463500.0,1
2025-04-02,46005.0,46500.0,46005.0,20,925050.0,2
2025-04-01,46550.0,47480.0,46000.0,50,2338100.0,5
2025-03-30,46003.0,46003.0,46000.0,30,1380050.0,3
2025-03-27,46002.0,46002.0,45751.0,50,2291530.0,5
2025-03-26,46001.0,46001.0,46001.0,10,460010.0,1
2025-03-25,46200.0,46200.0,45600.0,30,1379000.0,3
2025-03-24,46500.0,46500.0,46500.0,19,883500.0,1
2025-03-23,46900.0,46900.0,46015.0,21,976050.0,3
2025-03-20,46601.0,47000.0,46400.0,116,5417639.0,11
2025-03-19,46799.0,46799.0,46649.0,50,2334580.0,5
2025-03-18,45750.0,45951.0,45750.0,48,2200622.0,4
2025-03-17,46054.0,46054.0,46054.0,10,460540.0,1
2025-03-16,45152.0,46590.0,45152.0,120,5450852.0,9
2025-03-12,45011.0,45380.0,45011.0,40,1811510.0,3
2025-03-11,45380.0,45380.0,45380.0,10,453800.0,1
2025-03-10,46301.0,47244.0,46301.0,114,5304770.0,10
2025-03-09,47000.0,47000.0,46000.0,94,4366544.0,10
2025-03-06,46500.0,47736.0,46000.0,100,4648673.0,9
2025-03-05,46800.0,46800.0,46800.0,1,46800.0,1
2025-03-04,46800.0,46800.0,46800.0,10,468000.0,1
2025-03-03,47000.0,47889.0,47000.0,60,2828952.0,6
2025-03-02,47000.0,47000.0,47000.0,15,705000.0,2
2025-02-27,46500.0,46921.0,46500.0,30,1400210.0,3
2025-02-25,46002.1,46010.0,45571.0,65,2981541.0,5
2025-02-24,46500.0,47938.0,46500.0,75,3518270.0,6
2025-02-23,46500.0,46500.0,46500.0,0,0.0,0
2025-02-20,46500.0,47000.0,46500.0,60,2809010.0,5
2025-02-18,47000.0,47100.0,47000.0,20,941000.0,2
2025-02-17,47000.0,47500.0,47000.0,30,1415000.0,3
2025-02-16,47000.0,47001.0,46501.0,50,2345020.0,5
2025-02-13,47400.0,47400.0,47000.0,30,1414000.0,3
2025-02-12,47000.0,47940.0,46800.0,50,2357400.0,5
2025-02-11,47000.0,47000.0,47000.0,0,0.0,0
2025-02-10,47000.0,47000.0,46999.0,65,3054990.0,6
2025-02-09,46799.0,46922.0,46050.0,40,1866930.0,4
2025-02-06,46002.0,46500.0,46002.0,51,2361962.0,4
2025-02-05,46002.0,46002.0,45701.0,20,917030.0,2
2025-02-04,46500.0,46500.0,46500.0,20,930000.0,2
2025-02-03,46918.0,46918.0,46000.0,60,2801540.0,6
2025-02-02,46920.0,46920.0,45600.0,63,2917690.0,6
2025-01-28,46500.0,46500.0,46000.0,30,1385000.0,3
2025-01-27,46000.0,46000.0,46000.0,110,5060000.0,7
2025-01-26,46200.0,46200.0,46200.0,35,1619250.0,4
2025-01-23,46000.0,47490.0,46000.0,40,1865704.0,4
2025-01-22,46782.0,46800.0,45865.1,111,5168597.1,8
2025-01-21,46800.0,46900.0,46800.0,60,2813000.0,3
2025-01-20,46900.0,47856.0,46898.9,80,3761897.0,8
2025-01-19,46000.0,46650.0,44803.0,50,2300330.0,5
2025-01-16,45678.0,46699.0,44925.0,40,1830680.0,4
2025-01-15,45798.0,45798.0,45798.0,10,457980.0,1
2025-01-13,44900.0,45492.0,43800.0,429,1.895634E7,15
2025-01-12,44600.0,45300.0,44600.0,30,1352000.0,3
2025-01-09,45050.0,45200.0,45050.0,40,1806500.0,4
2025-01-08,45050.0,45050.0,45000.0,60,2701000.0,6
2025-01-07,45000.0,45000.0,45000.0,30,1350000.0,3
2025-01-06,45500.0,46000.0,45090.0,40,1816900.0,4
2025-01-05,44982.0,44982.0,44100.0,50,2214830.0,5
2025-01-02,45000.0,45000.0,44500.0,45,2012500.0,4
2025-01-01,45000.0,45000.0,45000.0,100,4500000.0,9
2024-12-31,45500.0,45500.0,44900.0,170,7674510.0,15
2024-12-29,45750.0,46000.0,45750.0,40,1837500.0,4
2024-12-26,46000.0,46000.0,46000.0,120,5520000.0,12
2024-12-24,46000.0,48593.4,46000.0,100,4669774.0,10
2024-12-23,49585.1,50597.0,46000.0,100,4815671.0,10
2024-12-22,45998.0,46200.0,45500.0,60,2748380.0,6
2024-12-19,46500.0,46500.0,46500.0,10,465000.0,1
2024-12-18,46000.0,46000.0,46000.0,0,0.0,0
2024-12-17,46000.0,46001.0,45600.0,40,1836010.0,4
2024-12-16,46450.0,46452.0,45552.0,30,1384540.0,3
2024-12-12,47400.0,47400.0,47400.0,10,474000.0,1
2024-12-11,46800.0,46800.0,46800.0,10,468000.0,1
2024-12-10,46920.0,46920.0,46920.0,10,469200.0,1
2024-12-09,46000.0,46000.0,46000.0,0,0.0,0
2024-12-08,46000.0,46000.0,46000.0,30,1380000.0,3
2024-12-05,46167.0,46500.0,46165.0,60,2776780.0,6
2024-12-04,46800.0,46800.0,46500.0,20,933000.0,2
2024-12-03,46501.0,46900.0,46500.0,50,2334010.0,5
2024-12-02,46500.0,46500.0,46500.0,10,465000.0,1
2024-12-01,46010.0,46013.0,45100.0,130,5916530.0,9
2024-11-28,46950.0,46950.0,46600.0,60,2804600.0,5
2024-11-27,47000.0,47500.0,46700.0,130,6105010.0,11
2024-11-26,46800.0,47000.0,46500.0,70,3280999.0,7
2024-11-25,46500.0,47938.6,46250.0,156,7326319.6,12
2024-11-24,46999.0,47500.0,46890.0,40,1887790.0,4
2024-11-21,46000.0,46700.0,46000.0,50,2307000.0,3
2024-11-20,46700.0,46996.7,46700.0,30,1406932.0,3
2024-11-19,47174.9,47200.0,47174.9,30,1415749.0,3
2024-11-17,46600.0,47799.9,46500.0,172,8041759.0,15
2024-11-14,47000.0,47500.0,46411.0,120,5672150.0,11
2024-11-13,47300.0,47980.8,47040.0,316,1.49408216E7,27
2024-11-12,48000.0,48750.0,48000.0,100,4816510.0,9
