,date,vegetable,unit,minimum,maximum,average
1,2025-06-01,गोलभेडा ठूलो(नेपाली),kg,45,55,50
2,2025-06-01,गोलभेडा ठूलो(भारतीय),kg,50,60,55
3,2025-06-01,गोलभेडा सानो(लोकल),kg,40,50,45
4,2025-06-01,गोलभेडा सानो(टनेल),kg,50,60,55
5,2025-06-01,गोलभेडा सानो(भारतीय),kg,40,50,45
6,2025-06-01,आलु रातो,kg,35,40,37
7,2025-06-01,आलु रातो(भारतीय),kg,35,40,37
8,2025-06-01,आलु रातो(मुडे),kg,37,40,38
9,2025-06-01,प्याज सुकेको (भारतीय),kg,36,38,37
10,2025-06-01,गाजर(लोकल),kg,30,40,35
11,2025-06-01,गाजर(तराई),kg,15,25,20
12,2025-06-01,बन्दा(लोकल),kg,10,15,12
13,2025-06-01,काउली स्थानिय,kg,22,32,26
14,2025-06-01,मूला रातो,kg,30,40,35
15,2025-06-01,मूला सेतो(लोकल),kg,10,20,15
16,2025-06-01,सेतो मूला(हाइब्रीड),kg,10,20,15
17,2025-06-01,भन्टा लाम्चो,kg,10,15,12
18,2025-06-01,भन्टा डल्लो,kg,15,25,20
19,2025-06-01,बोडी(तने),kg,55,65,60
20,2025-06-01,मकै बोडी,kg,60,70,65
21,2025-06-01,मटरकोशा,kg,120,130,125
22,2025-06-01,घिउ सिमी(लोकल),kg,18,28,23
23,2025-06-01,घिउ सिमी(हाइब्रीड),kg,20,30,25
24,2025-06-01,घिउ सिमी(राजमा),kg,90,100,95
25,2025-06-01,भटमासकोशा,kg,115,125,120
26,2025-06-01,तितो करेला,kg,40,50,45
27,2025-06-01,लौका,kg,25,35,30
28,2025-06-01,परवर(लोकल),kg,55,65,60
29,2025-06-01,परवर(तराई),kg,55,65,60
30,2025-06-01,चिचिण्डो,kg,20,30,25
31,2025-06-01,घिरौला,kg,15,25,20
32,2025-06-01,झिगूनी,kg,55,65,60
33,2025-06-01,फर्सी पाकेको,kg,35,45,40
34,2025-06-01,फर्सी हरियो(लाम्चो),kg,20,30,25
