iter	Logloss
0	0.680466399
1	0.6691137647
2	0.6591034236
3	0.6496156763
4	0.6411414462
5	0.632442393
6	0.6253645956
7	0.6168853737
8	0.6098598444
9	0.6032926321
10	0.5954093112
11	0.589370069
12	0.5821976756
13	0.5776475815
14	0.5723345109
15	0.5674043217
16	0.5627403714
17	0.5570312393
18	0.5532266804
19	0.5500993069
20	0.5452025011
21	0.541317444
22	0.5374590495
23	0.5332340251
24	0.5292960742
25	0.5246362577
26	0.522212359
27	0.5194383116
28	0.5165329427
29	0.513791559
30	0.5112159075
31	0.5081050095
32	0.5057174196
33	0.5031258551
34	0.5005237153
35	0.4979138587
36	0.4952286444
37	0.4932058876
38	0.4914042683
39	0.4892498906
40	0.4873805161
41	0.4856747963
42	0.4836172439
43	0.4815442692
44	0.480077666
45	0.4784709236
46	0.4765920939
47	0.4750596005
48	0.4731370667
49	0.4712505565
50	0.4700790506
51	0.4684356045
52	0.4668379811
53	0.4652060008
54	0.4639470602
55	0.4618044092
56	0.4604261829
57	0.4590499386
58	0.4577876136
59	0.4563830294
60	0.4552886341
61	0.4542612366
62	0.4533121816
63	0.4522855093
64	0.4506218556
65	0.4495328234
66	0.4484389174
67	0.4472847927
68	0.4465260994
69	0.4456761969
70	0.4449169356
71	0.4440095504
72	0.4431797868
73	0.442126126
74	0.4414243674
75	0.4404180109
76	0.439289557
77	0.4381207762
78	0.4370964217
79	0.4365330388
80	0.4357390906
81	0.434754883
82	0.4340177425
83	0.4331619064
84	0.432430923
85	0.4318615645
86	0.4309193874
87	0.4301391654
88	0.4295172579
89	0.4287691249
90	0.4280345246
91	0.4272958564
92	0.4264284932
93	0.4258124913
94	0.4249398955
95	0.4243154644
96	0.4235560721
97	0.4228830269
98	0.4222849696
99	0.4214382896
100	0.4205889022
101	0.4200453365
102	0.4192291825
103	0.4184726954
104	0.4179360333
105	0.4173158152
106	0.416958607
107	0.4165566163
108	0.4160173073
109	0.4154006911
110	0.4150507331
111	0.4145236995
112	0.4136870108
113	0.4130846371
114	0.4127152855
115	0.4121549653
116	0.4117624242
117	0.4114909914
118	0.411105883
119	0.4106240912
120	0.4099307633
121	0.409425496
122	0.408472529
123	0.4077978219
124	0.4074517314
125	0.4069394399
126	0.4066957902
127	0.4064338029
128	0.4059579863
129	0.4051843213
130	0.4047139939
131	0.40413583
132	0.4037917864
133	0.4031402501
134	0.4027355234
135	0.4022991352
136	0.4017929318
137	0.4012376653
138	0.4007333246
139	0.4003380225
140	0.40018248
141	0.3999081826
142	0.3993611687
143	0.3989323501
144	0.398590113
145	0.3981133505
146	0.3978133589
147	0.3976230401
148	0.3971053757
149	0.3967695327
150	0.3965616171
151	0.396296565
152	0.3959374307
153	0.3954931048
154	0.3951487844
155	0.3946216999
156	0.3942848784
157	0.3939428379
158	0.3936284704
159	0.3933475451
160	0.3930167303
161	0.3925378563
162	0.3922001638
163	0.3919432198
164	0.3915898633
165	0.391355422
166	0.391065022
167	0.3907896282
168	0.3905140501
169	0.3902906568
170	0.3899795318
171	0.3897383951
172	0.3894310113
173	0.3889317453
174	0.3886826407
175	0.3884386646
176	0.3882001551
177	0.3877748661
178	0.3874315959
179	0.3872332536
180	0.3870437235
181	0.3868488102
182	0.3866600046
183	0.3863899744
184	0.3862207872
185	0.3859676594
186	0.3856932676
187	0.3852271666
188	0.3849715133
189	0.384656341
190	0.3844983481
191	0.3842888326
192	0.3838977905
193	0.3836056255
194	0.3834357633
195	0.3832165526
196	0.3830146219
197	0.3827233294
198	0.3825802506
199	0.3824110328
200	0.3821703406
201	0.3819148143
202	0.3816224659
203	0.3813975942
204	0.381113974
205	0.3806153738
206	0.3805245687
207	0.3803211872
208	0.3800020809
209	0.3798216381
210	0.3796651921
211	0.3793525281
212	0.3790038618
213	0.3786537829
214	0.3785498462
215	0.3783776066
216	0.3781555456
217	0.3779251238
218	0.3777330056
219	0.3774105987
220	0.3771217246
221	0.3768972397
222	0.3765042673
223	0.3763514604
224	0.3761759308
225	0.37597995
226	0.3758007647
227	0.3753126145
228	0.37514514
229	0.374910843
230	0.3746856619
231	0.3745988398
232	0.3743872575
233	0.3741429472
234	0.3740307005
235	0.3738378631
236	0.373660706
237	0.3734170581
238	0.3731977657
239	0.3730828352
240	0.3729604642
241	0.372462321
242	0.3723026272
243	0.3720210695
244	0.3718569406
245	0.3716123471
246	0.3714352377
247	0.3713132423
248	0.371017467
249	0.3708528063
250	0.3706370201
251	0.3705110115
252	0.3703016904
253	0.3701007367
254	0.3698866215
255	0.3696067848
256	0.3694442243
257	0.3693227641
258	0.3690996828
259	0.3688246908
260	0.368678987
261	0.3685342114
262	0.3681604477
263	0.3680535623
264	0.3678855754
265	0.3676942438
266	0.3674396215
267	0.3671262655
268	0.3669150404
269	0.3667362055
270	0.3665347506
271	0.3664964833
272	0.366365318
273	0.3661440576
274	0.3660353713
275	0.3658116525
276	0.3656756146
277	0.3654393644
278	0.3652544856
279	0.3650922535
280	0.3649237738
281	0.3646828041
282	0.3645376479
283	0.3644141767
284	0.3642699676
285	0.3640630441
286	0.3639204706
287	0.3634954627
288	0.3633329265
289	0.3632406808
290	0.3631411948
291	0.3630229883
292	0.3627636219
293	0.3626871839
294	0.3625785231
295	0.3624649177
296	0.362353329
297	0.3622236024
298	0.3621007451
299	0.3619383886
300	0.3618177783
301	0.3615946501
302	0.3615098102
303	0.3612900119
304	0.3611793873
305	0.3610165073
306	0.3608342364
307	0.3607271706
308	0.3606058663
309	0.360504147
310	0.3603732657
311	0.36014101
312	0.3600157602
313	0.359905254
314	0.3598091631
315	0.3597271423
316	0.3595261286
317	0.3593035585
318	0.3592147047
319	0.3589824477
320	0.3588109933
321	0.358661011
