Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
0,F,F,Alabama,1.0,2006.0,,< 1 year,1,0.0,29848.0,790.67,689.79,891.55,51.47,Alabama_< 1 year,1970-01-01 00:00:00.000002006,0.7987527331750669,0.5140767694555157,26,29937.544,1.2924948172632251,1482,0.1199168283746036,3,async,
1,F,F,Alabama,1.0,2006.0,2006.0,1-4 years,1-4,0.0,err_578,36.23,26.11,,5.59,Alabama_1-4 years,1970-01-01 00:00:00.000002006,0.5228915039544775,-0.0189624742329776,19,,,6257,-0.047118037061705,1,sync,
2,F,F,Alabama,1.0,2006.0,,5-14 years,5-14,0.0,305683.0,,13.55,23.42,2.43,Alabama_5-14 years,1970-01-01 00:00:00.000002006,-0.1315773618383014,-1.1472648602005198,-44,306600.04899999994,1.7284132841328417,1171,0.0514642212983627,4,sync,55.0
3,,,Alabama,-91.43281059153604,1980.1243260702704,1980.1243260702704,,15-24,-0.0797377299645494,2878598.4615373546,-24677.60418079359,24051.150020844347,,-482.8631980392563,Alabama_15-24 years,1970-01-01 00:00:00.000001980,0.9319336244519792,0.2142023173111683,-24,2849991.419339286,,6902,-0.0739877702448169,4,sync,
4,F,F,Alabama,1.0,2006.0,2006.0,25-34 years,25-34,0.0,300430.0,,97.05,120.64,6.02,Alabama_25-34 years,1970-01-01 00:00:00.000002006,1.1507265068203183,-0.2357118733268143,22,301331.29,1.243070582174137,5361,0.1901232588472018,2,sync,327.0
5,F,,,1.0,2006.0,2006.0,35-44 years,35-44,0.0,328049.0,226.49,210.2,,8.31,Alabama_35-44 years,1970-01-01 00:00:00.000002006,0.9731615641076377,0.9127520755049812,31,329033.14699999994,,7048,0.1711197844071677,1,async,
6,F,F,Alabama,1.0,,,45-54 years,45-54,0.0,345733.0,,411.34,455.22,11.19,Alabama_45-54 years,,-0.2871171512222963,0.9972102177369916,34,,1.106675742694608,2544,0.0260284378243511,2,async,
7,F,F,Alabama,1.0,2006.0,,55-64 years,55-64,0.01,273519.0,,840.2,910.32,17.89,Alabama_55-64 years,1970-01-01 00:00:00.000002006,1.31749014225606,-0.0729016034023186,3,274339.557,1.0834563199238276,7665,-0.2257581636965461,2,sync,2394.0
8,,F,,1.0,2006.0,2006.0,65-74 years,65-74,0.01,182941.0,1965.11,1900.88,,32.77,Alabama_65-74 years,1970-01-01 00:00:00.000002006,-0.1791085374985596,0.4482171490713476,-10,183489.82299999995,,9257,-0.0650269995057265,1,pending,3595.0
9,F,F,Alabama,1.0,2006.0,,75-84 years,,0.02,err_281,5299.19,5172.33,5426.04,64.72,Alabama_75-84 years,1970-01-01 00:00:00.000002006,0.4548472783190884,-1.469558084039139,24,,1.049051394632593,1951,-0.0781654023839105,2,pending,6704.0
